chDemoQs,chAQ10,Q_stim,chInstrSlide,ChPage,Demographic_Loop.thisRepN,Demographic_Loop.thisTrialN,Demographic_Loop.thisN,Demographic_Loop.thisIndex,AQ_Loop.thisRepN,AQ_Loop.thisTrialN,AQ_Loop.thisN,AQ_Loop.thisIndex,Q_trials.thisRepN,Q_trials.thisTrialN,Q_trials.thisN,Q_trials.thisIndex,MWdefinitions.thisRepN,MWdefinitions.thisTrialN,MWdefinitions.thisN,MWdefinitions.thisIndex,ReadingLoop.thisRepN,ReadingLoop.thisTrialN,ReadingLoop.thisN,ReadingLoop.thisIndex,Welcome_text.started,Welcome_text_resp.started,Welcome_text_resp.keys,Welcome_text_resp.rt,DemoQs.started,DemographicQs_resp.started,DemographicQs_resp.keys,DemographicQs_resp.rt,textInterval.started,textInterval.stopped,text_4.started,Age_resp.started,AgeQuestion_textbox.text,Age_resp.keys,Age_resp.rt,text_3.started,AQintro_key_resp.started,AQintro_key_resp.keys,AQintro_key_resp.rt,AQ_10.started,AQ_key_resp.started,AQ_key_resp.keys,AQ_key_resp.rt,text_2.started,text_2.stopped,adhdQ.started,key_QA.started,key_QA.keys,key_QA.rt,key_AlwaysResp.started,key_AlwaysResp.keys,key_AlwaysResp.rt,adhdDxQ.started,key_Dx.started,key_Dx.keys,key_Dx.rt,MWdefInstr.started,MWdefInstr_key_resp.started,text.started,IntroExp_key_resp.started,IntroExp_key_resp.keys,IntroExp_key_resp.rt,NoSkipping.started,key_Skip.keys,key_Skip.rt,etRecord_START.started,etRecord_START.stopped,Reading_key_resp.started,imagePages.started,PCProbe.started,SCProbe.started,Reading_key_resp.keys,Reading_key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,25.388687200000277,25.388687200000277,space,3.298680599999898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
Demographics/Demographics_1.png,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,28.755286999999953,28.755286999999953,1,2.3714160999998057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
Demographics/Demographics_2.png,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,31.1734991000003,31.1734991000003,1,0.3780883999997968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
Demographics/Demographics_3.png,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,31.573452100000395,31.573452100000395,1,0.2731456999999864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
Demographics/Demographics_4.png,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,31.872277399999803,31.872277399999803,1,0.2635454999999638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.15461670000059,33.154811999999765,33.154811999999765,33.154811999999765,"12
 ",['space'],[9.26825589999953],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.45504299999993,42.45504299999993,space,1.0163407000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,AQ_10_Qs/AQ1.png,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52116620000015,43.52116620000015,1,0.84623240000019,44.388082500000564,44.888936500000455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,AQ_10_Qs/AQ2.png,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.888936500000455,44.888936500000455,1,0.6136100000003353,45.52144769999995,46.022264899999755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,AQ_10_Qs/AQ3.png,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.022264899999755,46.022264899999755,2,0.5046251000003394,46.55485610000051,47.05561940000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,AQ_10_Qs/AQ4.png,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.05561940000007,47.05561940000007,3,0.5673772000000099,47.65535910000017,48.155654700000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,AQ_10_Qs/AQ5.png,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.155654700000014,48.155654700000014,1,0.47498670000004495,48.65467840000019,49.15559889999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,AQ_10_Qs/AQ6.png,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.15559889999986,49.15559889999986,2,0.49213070000041625,49.67137120000007,50.172342100000606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
,AQ_10_Qs/AQ7.png,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.172342100000606,50.172342100000606,3,0.3630790999995952,50.5548447000001,51.05631360000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-16_17h05.56.836,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.01738103336145,
